timestamp,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,rssi_dbm
1776702576.738763,0.85850760,0.84561826,0.82553190,0.79294268,0.75314208,0.72097683,0.69937709,0.68442294,0.68459176,0.69929078,0.72499377,0.73641117,0.75926077,0.78468767,0.79622706,0.80357909,0.79974580,0.79572033,0.78569692,0.77150312,0.76194194,0.46047536,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.28478315,0.60768596,0.58476764,0.54691834,0.51694678,0.50824056,0.52605965,0.57734186,0.62582720,0.68213998,0.72875182,0.76145550,0.78229126,0.79897680,0.80193436,0.80103962,0.79467966,0.78220385,0.77391963,0.74701049,0.71358827,0.67544411,-45.0000
1776702576.795366,0.88347610,0.86810395,0.84384954,0.81298570,0.76905488,0.74126133,0.72270572,0.72221488,0.72045065,0.74385494,0.76717856,0.78125526,0.80114959,0.82022528,0.82884774,0.82952157,0.82697624,0.82101059,0.81252864,0.79265663,0.78371112,0.46628079,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34514797,0.64343187,0.62868547,0.59040661,0.53857311,0.52685027,0.53039363,0.56804951,0.64429057,0.69728358,0.74585098,0.78592162,0.81025133,0.82607969,0.83495770,0.83333874,0.82718111,0.80750095,0.78566695,0.76946249,0.73603919,0.70155054,-45.0000
1776702576.835824,0.90819754,0.89761754,0.87630579,0.83687690,0.79806605,0.76076809,0.72886007,0.71158261,0.70464178,0.72671532,0.75473407,0.78089550,0.80032950,0.82595660,0.84233312,0.84628578,0.84936130,0.84249812,0.83131663,0.81759253,0.80423166,0.47187722,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41200209,0.70464688,0.67935502,0.63418780,0.57339395,0.50822660,0.50911540,0.56583025,0.64235501,0.70989195,0.76210561,0.80352970,0.83341317,0.84894604,0.86055421,0.85657390,0.84492886,0.83540010,0.82019434,0.80020416,0.76747559,0.71551037,-45.0000
1776702576.897649,0.79903902,0.78282024,0.76244974,0.72694026,0.69090360,0.65261204,0.62261285,0.60106148,0.60367710,0.62977050,0.65839877,0.67388258,0.69920900,0.71932330,0.73814078,0.74119645,0.73110746,0.73044123,0.71854145,0.70056181,0.68411330,0.36482475,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.29635925,0.58055416,0.55901268,0.52113129,0.47009346,0.42384590,0.39732159,0.43671340,0.51187049,0.58593825,0.64216821,0.68679426,0.71395825,0.73936841,0.74311648,0.74840647,0.74361830,0.72984136,0.70953517,0.69799363,0.66347626,0.62278602,-42.0000
1776702576.909164,0.80151082,0.78690460,0.76667150,0.73064769,0.69616657,0.66195241,0.63148036,0.60850579,0.60504327,0.63169054,0.65839877,0.67371297,0.70070728,0.71751902,0.73716168,0.74090033,0.73203900,0.72906784,0.71818204,0.70111483,0.68335438,0.35014426,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.27979981,0.58146439,0.55671061,0.52762018,0.46939150,0.43272315,0.41793835,0.45411453,0.52452787,0.59384507,0.64728521,0.69078438,0.71874726,0.74120511,0.74819381,0.75215682,0.74829462,0.73507955,0.71631334,0.70147099,0.66782089,0.62893220,-45.0000
1776702577.000781,0.78990923,0.77966269,0.75796972,0.71984791,0.68410211,0.64883829,0.61789237,0.59781341,0.60221073,0.61797828,0.63995358,0.66286044,0.68634074,0.70891448,0.72122080,0.72345954,0.72093832,0.71252229,0.70350490,0.69332322,0.67669828,0.34617943,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30134259,0.57690913,0.54917132,0.50942354,0.46030111,0.40594812,0.40577990,0.44097028,0.53627521,0.58401454,0.63457355,0.68328470,0.71214311,0.72976412,0.74433996,0.74283018,0.73120031,0.71367438,0.70793168,0.68860122,0.65697896,0.61731970,-45.0000
1776702577.057118,0.87988370,0.86540628,0.84061876,0.80245291,0.75733012,0.71298790,0.68229064,0.67055032,0.67562874,0.71219482,0.74407575,0.76834544,0.79162047,0.80876462,0.81884076,0.82346097,0.82154337,0.81059708,0.79631654,0.78287638,0.76793622,0.43637500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38534347,0.67326248,0.65533329,0.61158197,0.55159439,0.47935668,0.42459583,0.49225290,0.59402669,0.66657166,0.73037870,0.77397258,0.80019437,0.82113999,0.82901276,0.83521780,0.82720943,0.81246971,0.79902463,0.77202133,0.73978764,0.67404468,-45.0000
1776702577.110565,0.90714729,0.89228777,0.86425028,0.82239842,0.77626684,0.73388631,0.69662178,0.68912729,0.69426707,0.72876336,0.76257203,0.78630274,0.81128804,0.83466089,0.84503212,0.84897310,0.84416638,0.83513888,0.82611713,0.80837019,0.79125230,0.47155324,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.41973020,0.69782271,0.67385686,0.62659831,0.55595776,0.49258594,0.46246469,0.52811735,0.62233959,0.70113649,0.75601842,0.80050584,0.83430750,0.84916051,0.86393055,0.86174423,0.85299219,0.83824999,0.82062523,0.79436458,0.75648883,0.69595678,-45.0000
1776702577.158309,0.85535992,0.84164180,0.81711977,0.78379267,0.75084552,0.71662325,0.69232586,0.68423280,0.69242497,0.72249483,0.74185609,0.75240222,0.77702739,0.78698079,0.79182865,0.78693105,0.78964566,0.77795448,0.76547668,0.74778129,0.74131260,0.41368289,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.40678520,0.67743775,0.67071421,0.64261275,0.58602167,0.53347318,0.49350453,0.54971347,0.61519338,0.68521219,0.72519298,0.75712557,0.78225436,0.80089115,0.80986621,0.81080565,0.80630240,0.79953818,0.78379265,0.77497054,0.74677929,0.70260576,-45.0000
1776702577.220147,0.87542306,0.85946959,0.82949378,0.78687846,0.73734908,0.70319435,0.67429516,0.67161971,0.68836796,0.73240447,0.75725537,0.77857240,0.79190307,0.81189970,0.82230235,0.82221129,0.81408032,0.79988955,0.78566394,0.76681456,0.74646334,0.41976336,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.35482891,0.65019477,0.62679041,0.57189166,0.49747002,0.41961249,0.41703825,0.51975003,0.63062939,0.69021594,0.74406878,0.78522935,0.81406656,0.82984274,0.83734371,0.83223229,0.82539228,0.80785917,0.78396099,0.75886489,0.71283771,0.66181430,-42.0000
