timestamp,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,rssi_dbm
1776702491.206241,0.82901781,0.82985148,0.81531103,0.78957134,0.76185308,0.73036019,0.70071465,0.65360084,0.62024924,0.59145548,0.60222442,0.61695603,0.66377308,0.69813931,0.73159750,0.75042405,0.75759667,0.76007960,0.75510259,0.74596765,0.74100647,0.40659580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34216072,0.63508697,0.62152393,0.59056860,0.55823410,0.48215603,0.43272315,0.37830087,0.36912093,0.48755013,0.58788951,0.65048965,0.69701646,0.72827556,0.75313191,0.77076268,0.77728316,0.77442522,0.76858472,0.76596382,0.74745660,0.70600842,-44.0000
1776702491.251544,0.82742128,0.83076905,0.81881536,0.80006928,0.77280260,0.74556983,0.72816902,0.69343979,0.65951204,0.63934546,0.63307852,0.63708494,0.66660915,0.70534617,0.72839115,0.75110020,0.76186384,0.76663686,0.76333422,0.76569146,0.75481697,0.42527154,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.32560128,0.63367450,0.62035052,0.58974446,0.54892893,0.51130694,0.46033643,0.42891303,0.47170410,0.54477628,0.59912863,0.65861573,0.69966250,0.73046226,0.75138234,0.76704017,0.77314110,0.77480821,0.77199254,0.77064456,0.75161547,0.72164435,-45.0000
1776702491.273967,0.84502071,0.84898494,0.83936690,0.81790707,0.79596289,0.77633389,0.75037900,0.71696587,0.68144838,0.65467351,0.65360904,0.65949465,0.69190450,0.72471467,0.75418302,0.77606428,0.78342642,0.78425088,0.78688787,0.77785271,0.77265821,0.44631416,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34078305,0.64727149,0.64009739,0.61784154,0.59138904,0.56197783,0.51508454,0.45858272,0.44912027,0.50235309,0.56315295,0.63525877,0.68795659,0.72717608,0.74803915,0.77200454,0.78008794,0.78896313,0.78837133,0.79015867,0.77774466,0.75589785,-45.0000
1776702491.363593,0.78294316,0.78172640,0.77034703,0.74963956,0.71924923,0.69327698,0.66446263,0.63689248,0.61198402,0.59227871,0.60510634,0.61936165,0.64625243,0.67642583,0.70350606,0.71805886,0.71680305,0.71585525,0.71848658,0.70780912,0.69107439,0.37681959,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.32298496,0.59248770,0.59267679,0.57741194,0.54843585,0.51327313,0.46696495,0.41108416,0.41582704,0.45717866,0.51745396,0.57533403,0.62572410,0.66230897,0.68337426,0.71071549,0.71415433,0.72069614,0.72230669,0.72405055,0.71085663,0.68562249,-44.0000
1776702491.415980,0.89103506,0.89153190,0.88092615,0.85301501,0.82555100,0.79682629,0.76050387,0.71106807,0.64851680,0.61687845,0.62793833,0.66731191,0.71658720,0.75962275,0.79488474,0.81566397,0.82876159,0.82901297,0.82211126,0.81489682,0.79928549,0.47009346,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38309482,0.68252972,0.66901137,0.65084344,0.61487156,0.56762600,0.47710015,0.40372848,0.43961582,0.50598080,0.59303148,0.67062943,0.72226311,0.76691536,0.79450317,0.81526046,0.82403745,0.82759744,0.82770470,0.82862459,0.81167267,0.77553333,-44.0000
1776702491.471814,0.88021982,0.88169356,0.87544114,0.85286017,0.82648312,0.79985414,0.76280262,0.72172202,0.67203383,0.63826352,0.64573267,0.67084647,0.71296330,0.75134199,0.78409162,0.79721608,0.81210208,0.81489153,0.81031941,0.80160766,0.79382746,0.45947205,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38410011,0.69442617,0.68539217,0.66658773,0.64016531,0.60229194,0.55892608,0.51298217,0.49246177,0.52017162,0.59663092,0.67095591,0.72377316,0.76243806,0.79363757,0.81233116,0.82325272,0.82809414,0.83071471,0.83225589,0.81788879,0.79174038,-45.0000
1776702491.528508,0.86901463,0.87384113,0.86507622,0.83928154,0.81176392,0.79104204,0.76497704,0.73549433,0.71408580,0.68528911,0.68422155,0.69145661,0.72757180,0.75212572,0.77530790,0.79892557,0.80551460,0.81519076,0.81007971,0.80881038,0.79554159,0.46906808,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38309482,0.67874413,0.66585592,0.63704317,0.60780942,0.57064813,0.53237555,0.51821025,0.52757406,0.58677701,0.63999919,0.69886749,0.73868735,0.76691294,0.79402542,0.80441094,0.81277481,0.81470576,0.80958516,0.80857617,0.79524125,0.76382564,-45.0000
1776702491.571315,0.84976787,0.85486352,0.84498796,0.82148164,0.79568361,0.77506008,0.75110626,0.71391727,0.68729054,0.66574957,0.67726178,0.69894867,0.73053091,0.75385411,0.77529704,0.79198155,0.79611186,0.80032091,0.79317687,0.78445293,0.77225768,0.45039041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.37643693,0.68429671,0.68573729,0.66713019,0.66222907,0.63995731,0.60079252,0.54816155,0.50388508,0.48714928,0.56499512,0.63975654,0.68823247,0.72959521,0.75528173,0.77289536,0.78414318,0.79253031,0.79671478,0.80741287,0.80493704,0.78194248,-39.0000
1776702491.635492,0.87597682,0.88080364,0.87368153,0.85328095,0.82943670,0.80096279,0.77025161,0.72806593,0.68607702,0.64284689,0.64233352,0.66502273,0.70093613,0.74624323,0.77725612,0.80122325,0.81296481,0.81575517,0.81561502,0.81320781,0.79983909,0.44696829,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.36248297,0.68278148,0.67782657,0.66504625,0.65225519,0.61612218,0.57395569,0.51129073,0.45887113,0.46603910,0.54748018,0.61658848,0.68545550,0.73736825,0.76368537,0.79373612,0.80483927,0.81039644,0.81832099,0.82455758,0.81437094,0.79146757,-46.0000
1776702491.685626,0.86513995,0.86666511,0.86342890,0.84353397,0.82564706,0.81517289,0.78714629,0.76887303,0.73623491,0.71972127,0.70545491,0.70730608,0.72003288,0.75007684,0.77333599,0.79768385,0.80950055,0.81062872,0.81607866,0.81125014,0.80841838,0.47706382,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.36014540,0.66784027,0.66181092,0.63541687,0.59797981,0.57502390,0.54696397,0.53504870,0.57175168,0.61986758,0.66091726,0.70014131,0.73307099,0.76022923,0.78269959,0.79210627,0.80179981,0.81005804,0.80607569,0.81123200,0.79951729,0.77876777,-47.0000
