timestamp,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51,rssi_dbm
1776702478.899865,0.82814107,0.82211771,0.80644304,0.77901755,0.75059296,0.72775227,0.69790298,0.67225736,0.65681130,0.66111561,0.66747308,0.68441732,0.70707513,0.73337099,0.74651955,0.76026053,0.76335444,0.76283390,0.75711245,0.74530544,0.73653450,0.42673668,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.32617628,0.64174919,0.62073788,0.59775457,0.57152785,0.54361092,0.52480706,0.50978842,0.54616097,0.59679136,0.63743221,0.68395809,0.71777173,0.74377986,0.75910490,0.77003277,0.76733990,0.76076217,0.76016115,0.74704153,0.72821890,0.69599014,-46.0000
1776702478.953507,0.87256925,0.86780135,0.85363498,0.82797421,0.79776137,0.77675002,0.74861334,0.72802672,0.70941132,0.70552420,0.71335033,0.72495932,0.74784305,0.76740525,0.78681052,0.80280056,0.80389562,0.80627930,0.80281956,0.79386994,0.78399137,0.46510349,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.36977904,0.68440113,0.66726561,0.64114550,0.60553679,0.57992398,0.56172172,0.56337544,0.59567017,0.64134010,0.68770548,0.73424358,0.76708880,0.78875257,0.80039506,0.80825347,0.81024143,0.80286961,0.80039415,0.79321749,0.77024330,0.73889859,-45.0000
1776702479.005739,0.84771565,0.84173000,0.82844890,0.80557644,0.78070412,0.75296130,0.73751030,0.71805668,0.69080306,0.68632136,0.68357043,0.70061607,0.70958689,0.73525375,0.76142306,0.76867822,0.78018035,0.77833141,0.77371706,0.76039599,0.75390919,0.43169607,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38445372,0.66734278,0.65465338,0.62636286,0.61234182,0.58075873,0.56380986,0.56175477,0.58674120,0.63060757,0.66941342,0.70806073,0.74235354,0.75984908,0.77753984,0.78186926,0.78154110,0.78068766,0.77185890,0.76761666,0.75216142,0.72215302,-42.0000
1776702479.062961,0.86710762,0.86199540,0.84846221,0.81598372,0.78548938,0.76230282,0.73901513,0.71933945,0.70677398,0.70542445,0.71897075,0.73418652,0.75399258,0.78032218,0.79730385,0.80654825,0.80881692,0.80432612,0.79991959,0.78880486,0.77982541,0.47440654,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.33666016,0.67461523,0.67184851,0.65563627,0.62966465,0.59771813,0.56962864,0.56523300,0.58396819,0.62434623,0.66315016,0.71052970,0.74974735,0.76962644,0.78770689,0.79895433,0.80093711,0.79639370,0.79445319,0.78917911,0.77962543,0.75110112,-45.0000
1776702479.113878,0.89830542,0.89854023,0.88818851,0.85906799,0.83275194,0.81513070,0.79015459,0.76748835,0.74650388,0.73675821,0.73687123,0.74735231,0.76814375,0.79274775,0.81018413,0.82812058,0.83488722,0.83957476,0.83410357,0.83102115,0.82481729,0.49992222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.37405907,0.69917490,0.68501274,0.65627868,0.63623003,0.62175109,0.59175268,0.60010868,0.63089103,0.67727485,0.71620659,0.75142639,0.78841171,0.80743893,0.82337746,0.83110855,0.82958619,0.82771371,0.82275738,0.81602349,0.80067023,0.77772077,-45.0000
1776702479.162014,0.89349820,0.89264686,0.87802302,0.85660566,0.83449625,0.81872263,0.80820143,0.78926803,0.77277283,0.75979519,0.75767138,0.75311405,0.77049457,0.78664292,0.80111077,0.81100368,0.81227239,0.81347031,0.81468004,0.81288357,0.80998428,0.48426076,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38195530,0.70948531,0.70376731,0.69607993,0.67676248,0.66259600,0.65732484,0.66350727,0.68180265,0.71126626,0.74124281,0.77518002,0.79676936,0.81245852,0.82610780,0.83143041,0.83362790,0.82694360,0.82575041,0.83550957,0.82677441,0.80980176,-45.0000
1776702479.215971,0.92924820,0.92824652,0.91628724,0.89673114,0.87232005,0.85203996,0.82942315,0.81026024,0.78164078,0.76968279,0.76046039,0.76895267,0.78909907,0.81622706,0.83846199,0.85139584,0.86554552,0.86718826,0.86866879,0.86386710,0.85595181,0.52711659,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.39711925,0.72929446,0.71357680,0.69031224,0.66822213,0.64183473,0.63962497,0.63576168,0.66725612,0.70482728,0.74966506,0.78533141,0.81645060,0.83468416,0.85041882,0.85800031,0.86111218,0.85858127,0.85659796,0.85193534,0.83728751,0.81576039,-45.0000
1776702479.271594,0.82259165,0.81451528,0.80240787,0.77994114,0.75660067,0.73850101,0.71499082,0.68902584,0.66320085,0.65049052,0.65599282,0.65807967,0.68438482,0.71051283,0.73787844,0.74832038,0.75460342,0.75898476,0.75973703,0.75290849,0.74577739,0.43932803,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.29132629,0.61040454,0.60536846,0.58799475,0.55996777,0.54427932,0.52338878,0.52186982,0.54603618,0.58693203,0.62635128,0.66361247,0.69721775,0.72185625,0.73530161,0.74714835,0.74495664,0.74995385,0.74214493,0.74736490,0.73342986,0.70510668,-42.0000
1776702479.330741,0.90010676,0.90111319,0.88671805,0.86173954,0.84086066,0.81950537,0.79399439,0.77116127,0.74389991,0.72859577,0.72231074,0.73113272,0.75088932,0.78049989,0.80794675,0.82369133,0.83231269,0.83530295,0.83573733,0.83134118,0.82579104,0.50597702,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38055981,0.70401496,0.69399104,0.67171345,0.64007003,0.61237528,0.58343632,0.58048459,0.60679743,0.65287580,0.70668886,0.74665116,0.78045874,0.80497087,0.82629626,0.83760484,0.83999580,0.83636587,0.83537059,0.82744522,0.81659133,0.78484039,-45.0000
1776702479.382051,0.81633266,0.82039501,0.80797377,0.78008536,0.75583552,0.72590877,0.69531258,0.67967354,0.64595543,0.63842840,0.63921014,0.64590519,0.67226732,0.70501970,0.72903225,0.73971180,0.75453109,0.75424437,0.74785514,0.74740485,0.73474462,0.42498967,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.32288536,0.63801433,0.63004690,0.60783164,0.58006573,0.54574189,0.50442993,0.49106746,0.50865853,0.54094976,0.60399530,0.65971594,0.69469297,0.72221573,0.74105239,0.75071538,0.75865064,0.75679752,0.75308516,0.75115645,0.73777724,0.70882062,-45.0000
